id,question,gold_answer,predicted_answer,contexts,num_contexts
asqa_0,Who has the highest goals in world football?,Ali Dael has the highest goals in men's world international football with 109 goals. Josef Bican has the highest goals all-time in men's football and Christine Sinclair has the highest goals in women's world international football.,"Josef Bican has scored the most football goals in their career in history. Out of all the active players, Cristiano Ronaldo scored the most goals in his career with over 780 official senior career goals. Ali Daei of Iran has scored the most men's international goals in his career. He is the only player to score over 100 goals in international football with 109 goals. Christine Sinclair is the world's all-time leader for international goals scored for men or women with 187 goals, and is one of the most-capped active international footballers with 300 caps.","[""Josef Bican has scored the most football goals in their career in history. Out of all the active players, Cristiano Ronaldo scored the most goals in his career with over 780 official senior career goals. Ali Daei of Iran has scored the most men's international goals in his career. He is the only player to score over 100 goals in international football with 109 goals. Christine Sinclair is the world's all-time leader for international goals scored for men or women with 187 goals, and is one of the most-capped active international footballers with 300 caps."", ""Josef Bican has scored the most football goals in their career in history. Out of all the active players, Cristiano Ronaldo scored the most goals in his career with over 780 official senior career goals. Ali Daei of Iran has scored the most men's international goals in his career. He is the only player to score over 100 goals in international football with 109 goals. Christine Sinclair is the world's all-time leader for international goals scored for men or women with 187 goals, and is one of the most-capped active international footballers with 300 caps."", ""Josef Bican has scored the most football goals in their career in history. Out of all the active players, Cristiano Ronaldo scored the most goals in his career with over 780 official senior career goals. Ali Daei of Iran has scored the most men's international goals in his career. He is the only player to score over 100 goals in international football with 109 goals. Christine Sinclair is the world's all-time leader for international goals scored for men or women with 187 goals, and is one of the most-capped active international footballers with 300 caps."", ""Josef Bican has scored the most football goals in their career in history. Out of all the active players, Cristiano Ronaldo scored the most goals in his career with over 780 official senior career goals. Ali Daei of Iran has scored the most men's international goals in his career. He is the only player to score over 100 goals in international football with 109 goals. Christine Sinclair is the world's all-time leader for international goals scored for men or women with 187 goals, and is one of the most-capped active international footballers with 300 caps."", ""La Liga's all-time top goalscorer is Argentine Lionel Messi, who also holds the record for most goals scored in a season with 50 goals in the 2011–12 season. Cristiano Ronaldo held it prior to Messi from 2010-2011 and from 1989-90 Hugo Sánchez scored the most in one season of La Liga.""]",5
asqa_1,Who is the original artist of sound of silence?," The original artist of the song sound of silence released in 1966 is Paul Simon and Art Garfunkel. The song had earlier been released in an acoustic version on the album ""Wednesday Morning, 3 A.M."" which had been produced in 1964. In 2016, Australian recording artist Dami Im recorded a different song by the same name.","The Silence of the Lambs is the title of both a 1988 Thomas Harris novel and a 1991 film adapted from Harris' 1988 novel. The novel first came out on May 19, 1988. The film came out as a world premiere on January 30, 1991, and came out in theaters in the US on February 14, 1991. The film was later released on VHS in October 1991.","[""The Silence of the Lambs is the title of both a 1988 Thomas Harris novel and a 1991 film adapted from Harris' 1988 novel. The novel first came out on May 19, 1988. The film came out as a world premiere on January 30, 1991, and came out in theaters in the US on February 14, 1991. The film was later released on VHS in October 1991."", 'The Sound of Music is a musical with music by Richard Rodgers, lyrics by Oscar Hammerstein II, and a book by Howard Lindsay and Russel Crouse. It is based on the 1949 memoir of Maria von Trapp, The Story of the Trapp Family Singers. The original Broadway production opened in 1959 with Lauri Peters portraying Liesl. In the 1965 film version, Charmian Carr, portrayed Liesl. A live televised production of the musical aired twice in December 2013 on NBC with Ariane Rinehart portraying Liesel. British network ITV presented a live version of its own on December 20, 2015 with Evelyn Hoskins portraying Liesl.', ""The original 1973 version of Blinded by the Light was written by Bruce Springsteen and features him on vocals. The cover by British rock band Manfred Mann's Earth Band features vocals by Chris Thompson."", 'Korean-born musical artist Dami Im represented Australia at the Eurovision Song Contest 2016 with the song ""Sound of Silence"". She placed 1st in the jury vote and 4th in the televote for an overall 2nd place score of 511 points.', 'Korean-born musical artist Dami Im represented Australia at the Eurovision Song Contest 2016 with the song ""Sound of Silence"". She placed 1st in the jury vote and 4th in the televote for an overall 2nd place score of 511 points.']",5
asqa_2,When was the first apple i phone made?,"The iPhone beta was created in 2004 to test the commands of the Apple team, and while technically may have been the first iPhone ever created, it was never released to the public, so this beta was not considered the true first iPhone. After some trial and error, the first iPhone was officially launched and made accessible to the public on June 29, 2007.","The version history of the mobile operating system iOS, developed by Apple Inc., began with the release of iPhone OS for the original iPhone on June 29, 2007 and has since seen continuous development, resulting in new major releases of the software typically being announced at the annual Apple Worldwide Developers Conference and later released in September, coinciding with the release of new iPhone models. The latest version of iPhone software released in 2017 was version 10.3. 3, which was the final supported release for the iPhone 5C and the Wi-Fi-only iPad. The latest version of iPhone software in 2016 was version 9.3. 5, which was the final release on the","['The version history of the mobile operating system iOS, developed by Apple Inc. , began with the release of iPhone OS for the original iPhone on June 29, 2007 and has since seen continuous development, resulting in new major releases of the software typically being announced at the annual Apple Worldwide Developers Conference and later released in September, coinciding with the release of new iPhone models. The latest version of iPhone software released in 2017 was version 10. 3. 3, which was the final supported release for the iPhone 5C and the Wi-Fi-only iPad. The latest version of iPhone software in 2016 was version 9. 3. 5, which was the final release on the iPod Touch 5th generation, the Wi-Fi-only iPad 2, the Wi-Fi-only iPad 3rd generation, and the Wi-Fi-only iPad Mini 1st generation. The latest version of iPhone software that was released in June 2014 was version 7. 1. 2 and was the final release on the iPhone 4.', 'The IPhone SE was announced on March 21, 2016 in the ""Let us loop you in"" event. The phone was officially released on March 31, 2016. The upgraded models were released on March 24, 2017 with 32 GB or 128 GB of internal storage.', 'The first customers had access to mobile phones from 1946 in St. Louis, when AT&T introduced the car phone. Motorola created the first handheld mobile phone in 1973, while the first analog cellular systems were used in 1979 by NTT in Japan. The first digital mobile phones, which were the second generation mobile phone systems, emerged in the 1990s.', ""The iPod Touch 4, a multi touch all-purpose pocket computer designed and marketed by Apple, was released on September 1, 2010. It was originally only available in black with a stainless steel back, but the white version didn't come out until October 2011."", 'The iPhone 6 was first released in Canada on September 19th, 2014. A little over a year later on September 25, 2015 the iPhone 6S was released.']",5
asqa_3,Who played the weasley brothers in harry potter?,"Rupert Grint played Ron Weasley in all the Harry Potter films.  Richard Fish appeared as Bill Weasley briefly in the film adaptation of ""Harry Potter and the Prisoner of Azkaban"". Domhnall Gleeson plays Bill Weasley in ""Harry Potter and the Deathly Hallows"" and the roller coaster ride ""Harry Potter and the Escape from Gringotts"" at The Wizarding World of Harry Potter – Diagon Alley in Universal Studios Florida. James Phelps and Oliver Phelps played Fred and George Weasley in the Harry Potter film series from 2001 to 2011. Chris Rankin plays Percy Weasley in the Harry Potter film franchise. ","Severus Snape appears in all eight ""Harry Potter"" films, portrayed by British actor Alan Rickman. Rickman was Rowling's personal choice to portray the character. Benedict Clarke played Severus Snape as a child, and Alec Hopkins played him as a teenager.","['Severus Snape appears in all eight ""Harry Potter"" films, portrayed by British actor Alan Rickman. Rickman was Rowling\'s personal choice to portray the character. Benedict Clarke played Severus Snape as a child, and Alec Hopkins played him as a teenager.', 'Severus Snape appears in all eight ""Harry Potter"" films, portrayed by British actor Alan Rickman. Rickman was Rowling\'s personal choice to portray the character. Benedict Clarke played Severus Snape as a child, and Alec Hopkins played him as a teenager.', 'The character Draco Malfoy appears in multiple productions, including the film series, where Draco is played by Tom Felton and the play Harry Potter and the Cursed Child, in the West End theater he is played by Alex Price, in the Melbourne production of the play he is played by Tom Wren and in the San Francisco production he is played by Lucas Hall.', 'The character Draco Malfoy appears in multiple productions, including the film series, where Draco is played by Tom Felton and the play Harry Potter and the Cursed Child, in the West End theater he is played by Alex Price, in the Melbourne production of the play he is played by Tom Wren and in the San Francisco production he is played by Lucas Hall.', 'The character Draco Malfoy appears in multiple productions, including the film series, where Draco is played by Tom Felton and the play Harry Potter and the Cursed Child, in the West End theater he is played by Alex Price, in the Melbourne production of the play he is played by Tom Wren and in the San Francisco production he is played by Lucas Hall.']",5
asqa_4,How many state parks are there in virginia?,"When the Virginia state park system was formed on June 15, 1936, there were only six state parks in the entire state. As of 2016, that number had gone up to 38 state parks. ","Great Smoky Mountains National Park is an American national park in the southeastern United States, with parts in Tennessee and North Carolina. The park straddles the ridgeline of the Great Smoky Mountains, part of the Blue Ridge Mountains, which are a division of the larger Appalachian Mountain chain. The park is 522,419 acres in total, with 187,000 acres estimated to be old growth forest.","['Great Smoky Mountains National Park is an American national park in the southeastern United States, with parts in Tennessee and North Carolina. The park straddles the ridgeline of the Great Smoky Mountains, part of the Blue Ridge Mountains, which are a division of the larger Appalachian Mountain chain. The park is 522,419 acres in total, with 187,000 acres estimated to be old growth forest.', 'The government of Virginia combines the Executive, Legislative and Judicial branches of authority in the Commonwealth of Virginia. The Governor is part of the executive branch and the current Governor of Virginia is Ralph Northam. The branch related to the State Capitol building is the legislative branch and the building in Richmond was designed by Thomas Jefferson, and the cornerstone was laid by Governor Patrick Henry in 1785. The judicial branch includes the Supreme Court, which is the highest court in the Commonwealth of Virginia and primarily hears direct appeals in civil cases from the trial-level city and county circuit courts, as well as the criminal law, family law and administrative law cases that are initially appealed to the Court of Appeals of Virginia.', 'Parks and Recreation, also known as Parks and Rec, is an American political satire mockumentary sitcom television series created by Greg Daniels and Michael Schur. The series aired on NBC from April 9, 2009, to February 24, 2015, for 125 episodes, over seven seasons. The series stars Amy Poehler as Leslie Knope, Deputy Director of the Parks and Recreation Department of Pawnee, a fictional town in Indiana. During episode 19 of season 6 ""Flu Season 2"" Leslie finds out that she is pregnant with triplets.', 'Parks and Recreation, also known as Parks and Rec, is an American political satire mockumentary sitcom television series created by Greg Daniels and Michael Schur. The series aired on NBC from April 9, 2009, to February 24, 2015, for 125 episodes, over seven seasons. The series stars Amy Poehler as Leslie Knope, Deputy Director of the Parks and Recreation Department of Pawnee, a fictional town in Indiana. During episode 19 of season 6 ""Flu Season 2"" Leslie finds out that she is pregnant with triplets.', 'There are 35 continental US states in the wida consortium, and 38 total states in the wida consortium.']",5
asqa_5,Who performed at the champions league final 2018?,"Real Madrid and Liverpool are the teams that performed in competition at the champions league final 2018. Gareth Bale became the first substitute to score two goals in a Champions League final and was named man of the match. English singer Dua Lipa performed at the opening ceremony preceding the final. Jamaican rapper Sean Paul joined her as a special guest to perform their collaborative song, ""No Lie"". The UEFA Champions League Anthem was performed by Slovenian–Croatian cello duo 2Cellos including Luka Šulić and Stjepan Hauser.  ","The UEFA Champions League is a seasonal football competition established in 1955, which is open to the league champions of all UEFA member associations, except Liechtenstein, which has no league competition, as well as to the clubs finishing from second to fourth position in the strongest leagues. The 2015 UEFA Champions League Final was was played at the Olympiastadion in Berlin, Germany, on 6 June 2015, between Italian side Juventus and Spanish side Barcelona. The 2016 UEFA Champions League Final was played at the San Siro stadium in Milan, Italy, on 28 May 2016, between Spanish teams Real Madrid","['The UEFA Champions League is a seasonal football competition established in 1955, which is open to the league champions of all UEFA member associations, except Liechtenstein, which has no league competition, as well as to the clubs finishing from second to fourth position in the strongest leagues. The 2015 UEFA Champions League Final was was played at the Olympiastadion in Berlin, Germany, on 6 June 2015, between Italian side Juventus and Spanish side Barcelona. The 2016 UEFA Champions League Final was played at the San Siro stadium in Milan, Italy, on 28 May 2016, between Spanish teams Real Madrid and Atlético Madrid, in a repeat of the 2014 final. The 2017 UEFA Champions League Final was played at the Millennium Stadium in Cardiff, Wales on 3 June 2017, between Italian side Juventus and Spanish side and title holders Real Madrid.', 'The UEFA Champions League is a seasonal football competition established in 1955, which is open to the league champions of all UEFA member associations, except Liechtenstein, which has no league competition, as well as to the clubs finishing from second to fourth position in the strongest leagues. The 2015 UEFA Champions League Final was was played at the Olympiastadion in Berlin, Germany, on 6 June 2015, between Italian side Juventus and Spanish side Barcelona. The 2016 UEFA Champions League Final was played at the San Siro stadium in Milan, Italy, on 28 May 2016, between Spanish teams Real Madrid and Atlético Madrid, in a repeat of the 2014 final. The 2017 UEFA Champions League Final was played at the Millennium Stadium in Cardiff, Wales on 3 June 2017, between Italian side Juventus and Spanish side and title holders Real Madrid.', 'The UEFA Champions League is a seasonal football competition established in 1955, which is open to the league champions of all UEFA member associations, except Liechtenstein, which has no league competition, as well as to the clubs finishing from second to fourth position in the strongest leagues. The 2015 UEFA Champions League Final was was played at the Olympiastadion in Berlin, Germany, on 6 June 2015, between Italian side Juventus and Spanish side Barcelona. The 2016 UEFA Champions League Final was played at the San Siro stadium in Milan, Italy, on 28 May 2016, between Spanish teams Real Madrid and Atlético Madrid, in a repeat of the 2014 final. The 2017 UEFA Champions League Final was played at the Millennium Stadium in Cardiff, Wales on 3 June 2017, between Italian side Juventus and Spanish side and title holders Real Madrid.', 'During the 2009–10 UEFA Champions League season, the final was moved to a Saturday, it was played on May 22, 2010.', 'The UEFA Champions League (abbreviated as UCL) is an annual club football competition organised by the Union of European Football Associations (UEFA) and contested by top-division European clubs, deciding the competition winners through a round robin group stage to qualify for a double-legged knockout format, and a single leg final. It is one of the most prestigious football tournaments in the world and the most prestigious club competition in European football, played by the national league champions (and, for some nations, one or more runners-up) of their national associations. The 2015 UEFA Champions League Final was was played at the Olympiastadion in Berlin, Germany. The 2016 UEFA Champions League Final was played at the San Siro stadium in Milan, Italy. The 2017 UEFA Champions League Final was played in Millennium Stadium, Cardiff, which is the capital of Wales in the United Kingdom.']",5
asqa_6,Who killed the man in thelma and louise?,"In a fit of rage, Louise, played by Susan Sarandon, shoots Harlan in the chest, killing him instantly. ","Thelma & Louise is a 1991 American female buddy road crime film, starring Geena Davis as Thelma and Susan Sarandon as Louise, two friends who embark on a road trip that ends up in unforeseen circumstances. In their travels, they end up at a roadhouse bar, where a man attempts to rape Thelma until Louise intervenes and ends up shooting him. They are cornered by the authorities only one hundred yards from the edge of the Grand Canyon, but rather than be captured and spend the rest of their lives in jail or die","['Thelma & Louise is a 1991 American female buddy road crime film, starring Geena Davis as Thelma and Susan Sarandon as Louise, two friends who embark on a road trip that ends up in unforeseen circumstances. In their travels, they end up at a roadhouse bar, where a man attempts to rape Thelma until Louise intervenes and ends up shooting him. They are cornered by the authorities only one hundred yards from the edge of the Grand Canyon, but rather than be captured and spend the rest of their lives in jail or die by execution, Thelma proposes that they ""keep going. "" After Louise is reassured that Thelma is certain, Louise steps on the gas, and drives the car over the cliff.', 'The last case of a woman being burnt alive in England is Catherine Hayes in 1726, for the murder of her husband. The last person to have her body burnt after an execution was Catherine Murphy in 1789, who was convicted of high treason.', 'The last non-military person to be executed by hanging in the US, was Victor Harry Feguer on March 15, 1963. And the last US military execution by hanging was John Arthur Bennett on April 13, 1961.', 'The last non-military person to be executed by hanging in the US, was Victor Harry Feguer on March 15, 1963. And the last US military execution by hanging was John Arthur Bennett on April 13, 1961.', 'The Man Who Shot Liberty Valance, a 1953 short story by Dorothy M. Johnson, is the basis for a stage play and a film, both of which use the same title. In the 1962 Paramount Pictures film adaptation of the short story, the marshal is played by Andy Devine. In the 2014 Western stage play, which was billed as a classic story of good versus evil, the marshal is played by Robert G. Slade.']",5
asqa_7,Who plays charlie on it's always sunny?,"The fictional character Charles Kelly from the FX series ""It's Always Sunny in Philadelphia"" is portrayed by Charlie Day.","It's Always Sunny in Philadelphia is an American sitcom that premiered on FX on August 4, 2005, and moved to FXX beginning with the ninth season in 2013. On March 28, 2013, FX renewed the show for season 10, which wouldn't air until 2015. Season 11 premiered on FXX on January 6, 2016, and season 12 premiered on January 4, 2017.","[""It's Always Sunny in Philadelphia is an American sitcom that premiered on FX on August 4, 2005, and moved to FXX beginning with the ninth season in 2013. On March 28, 2013, FX renewed the show for season 10, which wouldn't air until 2015. Season 11 premiered on FXX on January 6, 2016, and season 12 premiered on January 4, 2017."", 'In the British soap opera ""Eastenders"" the character Dennis Rickman was killed by Danny Moon, played by Jake Maskall. The square\'s reigning crime lord Johnny Allen, played by Billy Murray, arranged for Dennis Rickman to be stabbed on New Year\'s Eve 2005 after threatening his adoptive sister.', 'In the British soap opera ""Eastenders"" the character Dennis Rickman was killed by Danny Moon, played by Jake Maskall. The square\'s reigning crime lord Johnny Allen, played by Billy Murray, arranged for Dennis Rickman to be stabbed on New Year\'s Eve 2005 after threatening his adoptive sister.', 'There are multiple characters named Savannah on Law and Order SVU. Savannah Biel was played by Hayden Tweedie. Savannah Ross was played by Saxon Sharbino.', 'There are multiple characters named Savannah on Law and Order SVU. Savannah Biel was played by Hayden Tweedie. Savannah Ross was played by Saxon Sharbino.']",5
asqa_8,How many times have the lakers won the finals?,"The Lakers are one of the most successful teams in the history of the NBA. As of 2017, They have won 16 NBA Championships. In 2020, the Lakers secured their 17th championship, tying with the Boston Celtics for the most titles in NBA history.","The NBA Finals is the annual championship series of the National Basketball Association (NBA). The Eastern and Western conference champions play a best-of-seven game series to determine the league champion. The team that wins the series is awarded the Larry O'Brien Championship Trophy, which replaced the Walter A. Brown Trophy in 1983. The Los Angeles Lakers has made it to the NBA finals the most with 32 appearances. The Boston Celtics won the most consecutive titles, winning eight in a row from 1959 to 1966. Bill Russell is the player that who has made it to the NBA finals the most","[""The NBA Finals is the annual championship series of the National Basketball Association (NBA). The Eastern and Western conference champions play a best-of-seven game series to determine the league champion. The team that wins the series is awarded the Larry O'Brien Championship Trophy, which replaced the Walter A. Brown Trophy in 1983. The Los Angeles Lakers has made it to the NBA finals the most with 32 appearances. The Boston Celtics won the most consecutive titles, winning eight in a row from 1959 to 1966. Bill Russell is the player that who has made it to the NBA finals the most times in a row."", ""The NBA Finals is the annual championship series of the National Basketball Association (NBA). The Eastern and Western conference champions play a best-of-seven game series to determine the league champion. The team that wins the series is awarded the Larry O'Brien Championship Trophy, which replaced the Walter A. Brown Trophy in 1983. The Los Angeles Lakers has made it to the NBA finals the most with 32 appearances. The Boston Celtics won the most consecutive titles, winning eight in a row from 1959 to 1966. Bill Russell is the player that who has made it to the NBA finals the most times in a row."", ""The NBA Finals is the annual championship series of the National Basketball Association (NBA). The Eastern and Western conference champions play a best-of-seven game series to determine the league champion. The team that wins the series is awarded the Larry O'Brien Championship Trophy, which replaced the Walter A. Brown Trophy in 1983. The Los Angeles Lakers has made it to the NBA finals the most with 32 appearances. The Boston Celtics won the most consecutive titles, winning eight in a row from 1959 to 1966. Bill Russell is the player that who has made it to the NBA finals the most times in a row."", 'The 76ers have won several games. The last time the team won a Championship was in 1983 against the Los Angeles Lakers, sweeping them in four games. The last time 76ers won a game in the 2014-2015 regular season was in March 2015. The last time the 76ers won a game in the 2015-2016 regular season and in the 2016-2017 regular season were in April 2016 and  March 2017 respectively.', 'The 76ers have won several games. The last time the team won a Championship was in 1983 against the Los Angeles Lakers, sweeping them in four games. The last time 76ers won a game in the 2014-2015 regular season was in March 2015. The last time the 76ers won a game in the 2015-2016 regular season and in the 2016-2017 regular season were in April 2016 and  March 2017 respectively.']",5
asqa_9,How many states in india are under congress?,"In India, there are 5 individual states under congress and 7 states with territories that under congress.","The United States Congress is the bicameral legislature of the federal government of the United States, and consists of two chambers: the House of Representatives and the Senate. Congress has 535 voting members: 435 representatives and 100 senators. In addition, there are currently six non-voting members of the House of Representatives, bringing the total membership to 441.","['The United States Congress is the bicameral legislature of the federal government of the United States, and consists of two chambers: the House of Representatives and the Senate. Congress has 535 voting members: 435 representatives and 100 senators. In addition, there are currently six non-voting members of the House of Representatives, bringing the total membership to 441.', 'In India, the largest state by population is Uttar Pradesh, which has over 200 million inhabitants, while the largest state by area is Rajasthan, which covers an area of 342,239 square kilometers.', 'In India, the largest state by population is Uttar Pradesh, which has over 200 million inhabitants, while the largest state by area is Rajasthan, which covers an area of 342,239 square kilometers.', 'There are 35 continental US states in the wida consortium, and 38 total states in the wida consortium.', 'The Parliament of India is a  bicameral legislature composed of the President of India and the two houses: the Rajya Sabha (Council of States) and the Lok Sabha (House of the People). Ram Nath Kovind is serving as the 14th and current president of India since his inauguration in 2017. Two previous politicians serving in this position are Pratibha Devisingh Patil the 12th and Pranab Mukherjee the 13th. The Parliament of Australia consists of three elements: the Crown (represented by the Governor-General), the Senate and the House of Representatives. General\xa0Sir Peter John Cosgrove,\xa0AK,\xa0CVO,\xa0MC\xa0(born 28 July 1947) is a retired senior\xa0Australian Army\xa0officer who served as the 26th\xa0Governor-General of Australia. Previous holders of the position were Dame Quentin Alice Louise Bryce the 25th, and Major General Philip Michael Jeffery, AC, CVO the 24th.']",5
